Galaxy,n_points,log10_rho_s_Msun_kpc3,log10_r_s_kpc,rho_s_Msun_kpc3,r_s_kpc,rss,rms_km_s
UGC07603,12,5.902710541509304,1.6645925399631512,799301.3408460771,46.19474136903336,160.1977449117972,3.653739464710518
UGC07608,8,4.490959561303172,2.999999999994968,30971.309009663288,999.9999999884135,126.20077765943341,3.971787658904889
UGC07690,7,6.777471113585516,0.741417270458236,5990610.916797729,5.513371671632054,40.64022437438029,2.409511639149557
UGC07866,7,4.000000000000001,2.95713264290216,10000.00000000002,906.0092734191737,2.9769000110458608,0.6521283847137836
UGC08286,17,7.005752083714873,0.8608141893456374,10133327.612718668,7.2579536319371,204.29286826578397,3.466587305268124
UGC08490,30,7.288681281536056,0.6800024041851503,19439329.515330885,4.786327419500076,64.22589799009647,1.4631689124419467
UGC08550,11,6.7656173528786745,0.8476020306092549,5829312.702834095,7.0404761334292525,22.631214711788214,1.4343580988083522
UGC08699,41,4.5132304813891215,2.999999999999982,32600.966941362967,999.999999999958,26978.469063476346,25.651733675769243
UGC08837,8,4.000000000000001,2.7658187573087734,10000.00000000002,583.2016678424393,190.4062986046767,4.878605059398084
UGC09037,22,4.000000000000001,2.7419189300520137,10000.00000000002,551.9743923528841,19661.768006958802,29.89509537681786
UGC09133,68,4.240866088424991,2.9999999999999933,17412.69882582372,999.9999999999847,95165.81037324025,37.40985446872495
UGC09992,5,7.652966471539779,-0.08275160996322703,44974513.2269594,0.8265105281880938,1.583862226513601,0.5628254128081995
UGC10310,7,6.612446451717017,0.9533504503560236,4096815.9317262103,8.981532595379326,42.82259195233082,2.4733606967135344
UGC11455,36,4.000000000000173,-1.9999999999992906,10000.000000003987,0.010000000000016336,57087.05117605272,39.82149446664477
UGC11557,12,4.000000000001094,-1.9999999999993245,10000.000000025195,0.010000000000015554,5081.221124469931,20.577538572575378
UGC11820,10,6.146384622644843,1.2936028505140773,1400827.3830445008,19.66087538353015,112.73692438599765,3.357631968903049
UGC11914,65,4.000000000279845,-1.9999999999913851,10000.000006443659,0.010000000000198366,26565.027525668695,20.216150255776537
UGC12506,31,7.404353220407549,1.027621048718742,25371913.40137494,10.656658499646024,2745.0569804224847,9.410112920412745
UGC12632,15,6.42527083139853,1.0861540785338026,2662384.8382574026,12.19422147481673,72.09836508748957,2.192386296367341
UGC12732,16,6.246817655328069,1.299730421990298,1765296.4804067193,19.940241874704423,26.69624576364646,1.2917102462347752
UGCA281,7,4.228714000555649,2.999999999997982,16932.223818371494,999.9999999953535,3.8469721144506566,0.7413281627737627
UGCA442,8,5.557600558557066,1.766835787536323,361077.6094910578,58.456900910975186,39.23658991249272,2.2146272234987063
UGCA444,36,4.193501152133721,2.999999999999984,15613.531800560413,999.9999999999632,32.511218694135124,0.9503101641939963
